Table 1: Wholesale price in dollars of 1 bag of chips in each store by chip brand,,,,,,,,Table 2: Markup percetage in each store (in %),
,Lay's,Popchips,Pringles,Sun Chips,Tostitos,,,,
ALBERTSONS,1.05,1.44,1.37,1.2,1.22,,,ALBERTSONS,21
Asda,1.49,1.02,1.2,1.4,1.11,,,Asda,24
Food4Less,1.13,1.3,1.5,1.05,1.14,,,Food4Less,5
Hillsborough ,1.32,1.35,1.12,1.5,1.38,,,Hillsborough ,10
Krogers,1.33,1.23,1.37,1.08,1.5,,,Krogers,20
Monte Sereno ,1.34,1.43,1.11,1.17,1.29,,,Monte Sereno ,24
Montecito ,1.17,1.23,1.1,1.24,1.15,,,Montecito ,26
Morrison,1.16,1.09,1.35,1.37,1.42,,,Morrison,17
Pavilions,1.12,1.43,1.27,1.35,1.22,,,Pavilions,25
Piedmont ,1.37,1.47,1.4,1.3,1.39,,,Piedmont ,19
Ralphs,1.39,1.03,1.15,1.13,1.04,,,Ralphs,7
Rolling Hills ,1.48,1.19,1.37,1.49,1.14,,,Rolling Hills ,29
Sainsbury,1.31,1.07,1.05,1.5,1.32,,,Sainsbury,26
Sausalito ,1.38,1.27,1.2,1.02,1.19,,,Sausalito ,25
Smiths,1.44,1.02,1.12,1.45,1.2,,,Smiths,16
Tesco,1.01,1.47,1.5,1.05,1.2,,,Tesco,18
Tiburon ,1.1,1.03,1.21,1.33,1.35,,,Tiburon ,16
Walmart,1.2,1.27,1.1,1.27,1.21,,,Walmart,26
Whole Foods,1.2,1.3,1.26,1.15,1.45,,,Whole Foods,20
Woodside ,1.44,1.3,1.12,1.09,1.03,,,Woodside ,16
