RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
1,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Joshua, The",,1353 North Martel Avenue,Los Angeles,CA,90046,34.0963163,-118.3510459,3238514141,87,73800,0.479,C+,C+,96.6,2493,2017,January,2017 January,2.47
2,Los Angeles - Metro,Beach Cities,Los Angeles,Manhattan Senior Villas,,1300 Parkview Avenue,Manhattan Beach,CA,90266,33.89889,-118.39227,3105464062,104,68640,2.46,C+,A,100,1300,2017,January,2017 January,1.92
3,Los Angeles - Metro,Beach Cities,Los Angeles,Elements 616,"Novella Redondo, Avalon Redondo",616 Esplanade Street,Redondo Beach,CA,90277,33.83239,-118.38912,3105430315,105,85130,1.184,B+,A,94.3,3332,2017,January,2017 January,3.49
4,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Riva,,1410 5th Street,Santa Monica,CA,90401,34.016898,-118.494229,4246250270,163,131355,1.2,A-,B+,92.6,3912,2017,January,2017 January,4.97
5,Los Angeles - Metro,Hawthorne,Los Angeles,Royal Oaks,,13601 Kornblum Avenue,Hawthorne,CA,90250,33.90817,-118.33781,3103550877,57,41655,1.18,C,C,100,1549,2017,January,2017 January,1.69
6,Los Angeles - Metro,East Torrance,Los Angeles,Harbor Cove,,945 Carson Street,Torrance,CA,90502,33.83299,-118.29195,3102126566,102,98940,2.223,B,C,100,1764,2017,January,2017 January,1.7
7,Los Angeles - Metro,East Torrance,Los Angeles,Gateway Court,,1306 Carson Street,Torrance,CA,90501,33.83115,-118.299895,3107828338,77,46920,0.763,C,B-,96.1,1698,2017,January,2017 January,2.1
8,Los Angeles - Metro,East Hollywood,Los Angeles,Mariposa Gardens,,533 North Mariposa Avenue,Los Angeles,CA,90004,34.0800163,-118.2996839,3236629956,71,47176,1.3,B-,B-,84.5,1931,2017,January,2017 January,2.68
9,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Council,,4205 Council Street,Los Angeles,CA,90004,34.0755862,-118.3011374,2133826324,54,41555,0.5,C,C+,98.1,1832,2017,January,2017 January,1.99
10,Los Angeles - Metro,East Hollywood,Los Angeles,Vivian,,637 North Bronson Avenue,Los Angeles,CA,90004,34.0827156,-118.3180829,3239621890,50,25200,0.33,C-,B-,90,1818,2017,January,2017 January,3.08
11,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Virgil View,,171 South Virgil Avenue,Los Angeles,CA,90004,34.071465,-118.287085,2134944841,54,40300,0.49,C+,B-,98.1,1636,2017,January,2017 January,2.26
12,Los Angeles - Metro,Hawthorne,Los Angeles,Catalina Terrace,Anastasi Construction Co Inc,13725 Chadron Avenue,Hawthorne,CA,90250,33.90628,-118.32921,3109734526,73,55584,1.356,C,C,100,1648,2017,January,2017 January,1.5
13,Los Angeles - Metro,San Pedro,Los Angeles,Portofino Townhomes,"Portofino Del Homes, Summerwind Townhomes",1625 West Pacific Coast Hwy,Wilmington,CA,90744,33.792349,-118.286189,3108343945,200,248061,11.88,B,B-,94.5,3120,2017,January,2017 January,2
14,Los Angeles - Metro,Hawthorne,Los Angeles,Chadron,,13622 Chadron Avenue,Hawthorne,CA,90250,33.9075229,-118.3280001,3106442151,60,55200,1.37,C,C,100,2379,2017,January,2017 January,1.98
15,Los Angeles - Metro,East Hollywood,Los Angeles,Madison Hancock Park,Rossmore Plaza,627 North Rossmore Avenue,Los Angeles,CA,90004,34.0826233,-118.3271386,3234613133,60,50186,0.52,B,A-,93.3,2916,2017,January,2017 January,3.25
16,Los Angeles - Metro,Hawthorne,Los Angeles,Oaktree,,13710 Chadron Avenue,Hawthorne,CA,90250,33.906842,-118.328071,3109781458,50,25300,0.896,C+,C,98,1479,2017,January,2017 January,2.36
