booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,meal_plan_1,meal_plan_2,no_meal_plan,required_car_parking_space,room_type_1,room_type_2,room_type_3,room_type_4,room_type_5,room_type_6,lead_time,arrival_year,arrival_month,arrival_day,Aviation,Complementary,Corporate,Offline,Online,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,canceled
INN00027,2,0,1,1,1,0,0,0,1,0,0,0,0,0,60,2017,9,21,0,0,0,1,0,0,0,0,65,0,0
INN00049,2,0,0,4,0,0,1,0,1,0,0,0,0,0,57,2018,11,1,0,0,0,0,1,0,0,0,79.2,1,0
INN00052,2,0,2,2,0,0,0,0,1,0,0,0,0,0,169,2018,4,22,0,0,0,0,1,0,0,0,106,0,1
INN00056,2,0,1,3,1,0,0,0,1,0,0,0,0,0,100,2018,5,19,0,0,0,0,1,0,0,0,136,1,0
INN00064,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2017,9,10,0,1,0,0,0,0,0,0,0,1,0
INN00074,2,0,0,2,1,0,0,0,1,0,0,0,0,0,177,2018,6,3,0,0,0,0,1,0,0,0,100,0,1
INN00082,2,0,0,5,1,0,0,0,0,0,0,1,0,0,128,2018,10,11,0,0,0,0,1,0,0,0,132.3,0,1
INN00123,2,0,1,3,1,0,0,0,1,0,0,0,0,0,68,2018,3,10,0,0,0,0,1,0,0,0,73.95,0,1
INN00130,2,0,1,4,1,0,0,0,0,0,0,1,0,0,85,2018,7,13,0,0,0,0,1,0,0,0,91.48,1,0
INN00131,2,0,0,2,0,0,1,0,1,0,0,0,0,0,1,2018,10,20,0,0,0,0,1,0,0,0,135,2,0
INN00135,1,0,0,4,0,0,1,0,1,0,0,0,0,0,80,2018,3,29,0,0,0,0,1,0,0,0,72.25,0,0
INN00150,2,0,2,3,1,0,0,0,0,0,0,1,0,0,73,2018,4,7,0,0,0,0,1,0,0,0,107.1,0,1
INN00161,2,0,2,2,1,0,0,0,1,0,0,0,0,0,62,2018,11,12,0,0,0,0,1,0,0,0,105,2,0
INN00175,2,1,0,1,1,0,0,0,1,0,0,0,0,0,11,2018,11,5,0,0,0,0,1,0,0,0,150,1,1
INN00192,1,0,0,1,1,0,0,0,1,0,0,0,0,0,15,2018,10,6,0,0,0,0,1,0,0,0,145,0,1
INN00199,2,0,0,4,1,0,0,0,1,0,0,0,0,0,127,2018,3,23,0,0,0,1,0,0,0,0,61.5,2,0
INN00200,2,0,1,2,0,0,0,0,1,0,0,0,0,0,418,2018,9,26,0,0,0,0,1,0,0,0,107,0,1
INN00206,2,0,0,3,1,0,0,0,1,0,0,0,0,0,433,2018,9,8,0,0,0,0,1,0,0,0,70,0,1
INN00209,2,0,2,4,1,0,0,0,1,0,0,0,0,0,17,2018,12,3,0,0,0,0,1,0,0,0,98.39,0,0
INN00221,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2018,6,8,0,0,0,0,1,0,0,0,109,1,0
INN00223,2,0,1,5,1,0,0,0,1,0,0,0,0,0,56,2018,9,5,0,0,0,0,1,0,0,0,118.95,0,0
INN00232,2,1,1,3,1,0,0,0,1,0,0,0,0,0,77,2018,5,12,0,0,0,0,1,0,0,0,135.15,1,0
INN00258,2,0,0,2,0,0,0,0,1,0,0,0,0,0,102,2017,10,16,0,0,0,0,1,0,0,0,101.5,0,1
INN00270,2,0,0,2,1,0,0,0,1,0,0,0,0,0,122,2018,4,15,0,0,0,1,0,0,0,0,85,0,0
INN00288,0,2,2,2,1,0,0,0,1,0,0,0,0,0,68,2018,4,24,0,0,0,0,1,0,0,0,108.38,1,1
INN00300,2,0,2,6,1,0,0,0,1,0,0,0,0,0,2,2018,11,16,0,0,0,0,1,0,0,0,92.54,2,0
INN00303,2,0,2,1,1,0,0,0,1,0,0,0,0,0,68,2018,1,2,0,0,0,1,0,1,1,0,63,1,0
INN00307,2,0,0,2,1,0,0,0,1,0,0,0,0,0,61,2018,3,23,0,0,0,0,1,0,0,0,117,0,1
INN00326,2,0,0,2,0,0,1,0,1,0,0,0,0,0,46,2018,11,11,0,0,0,0,1,0,0,0,79.2,1,1
INN00336,2,0,2,1,1,0,0,0,1,0,0,0,0,0,282,2017,10,10,0,0,0,1,0,0,0,0,76.67,0,0
INN00367,2,0,2,3,0,0,0,0,1,0,0,0,0,0,87,2018,6,26,0,0,0,0,1,0,0,0,141.3,0,1
INN00369,2,0,2,3,0,0,0,0,1,0,0,0,0,0,39,2018,8,13,0,0,0,0,1,0,0,0,170.1,2,0
INN00388,3,0,1,3,1,0,0,0,0,0,0,1,0,0,155,2018,12,26,0,0,0,0,1,0,0,0,115.6,1,1
INN00389,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,2018,5,14,0,0,0,0,1,0,0,0,221,0,1
INN00391,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2018,2,19,0,0,1,0,0,0,0,0,80,0,0
INN00398,1,0,0,4,0,0,0,0,1,0,0,0,0,0,100,2018,9,28,0,0,0,1,0,0,0,0,110,0,0
INN00400,2,0,0,1,0,0,1,0,1,0,0,0,0,0,29,2018,3,18,0,0,0,0,1,0,0,0,79,0,0
INN00408,2,1,1,3,1,0,0,0,0,0,0,0,0,1,124,2018,12,26,0,0,0,0,1,0,0,0,156.61,2,1
INN00461,1,0,0,3,1,0,0,0,1,0,0,0,0,0,37,2018,10,13,0,0,0,1,0,0,0,0,95,0,0
INN00476,2,2,2,1,1,0,0,0,0,0,0,0,0,0,30,2018,6,12,0,0,0,0,1,0,0,0,187.04,0,1
INN00481,1,0,0,2,1,0,0,0,1,0,0,0,0,0,188,2018,6,15,0,0,0,0,1,0,0,0,130,0,1
INN00529,2,0,2,1,1,0,0,0,0,0,0,1,0,0,27,2018,6,26,0,0,0,0,1,0,0,0,152.67,0,1
INN00567,2,0,2,2,1,0,0,0,0,0,0,1,0,0,45,2018,10,7,0,0,0,0,1,0,0,0,139.5,1,1
INN00600,2,0,1,2,1,0,0,0,1,0,0,0,0,0,85,2018,6,20,0,0,0,0,1,0,0,0,126.9,0,1
INN00613,2,0,2,1,1,0,0,0,1,0,0,0,0,0,37,2018,10,2,0,0,0,0,1,0,0,0,126,1,0
INN00617,1,0,1,1,1,0,0,0,1,0,0,0,0,0,3,2017,9,7,0,0,0,1,0,0,0,0,98.8,0,0
INN00667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,72,2017,9,18,0,0,0,1,0,0,0,0,84,0,0
INN00680,2,0,2,2,1,0,0,0,1,0,0,0,0,0,56,2017,9,25,0,0,0,1,0,0,0,0,185,0,0
INN00683,1,0,0,3,1,0,0,1,1,0,0,0,0,0,4,2018,1,28,0,0,0,0,1,0,0,0,95,1,0
INN00694,2,0,1,2,1,0,0,0,0,0,0,1,0,0,189,2018,10,28,0,0,0,0,1,0,0,0,109.8,0,1
INN00707,1,1,2,3,0,0,0,0,1,0,0,0,0,0,76,2018,4,24,0,0,0,1,0,0,0,0,98.5,1,0
INN00760,1,0,0,3,1,0,0,0,1,0,0,0,0,0,166,2018,11,1,0,0,0,0,1,0,0,0,110,0,1
INN00762,2,0,2,2,0,0,1,0,1,0,0,0,0,0,68,2018,4,1,0,0,0,0,1,0,0,0,75.65,1,1
INN00763,2,0,2,3,1,0,0,0,1,0,0,0,0,0,194,2018,4,17,0,0,0,0,1,0,0,0,77.23,2,0
INN00778,2,0,0,1,1,0,0,0,0,0,0,1,0,0,76,2018,7,2,0,0,0,0,1,0,0,0,131.4,0,1
INN00792,2,0,2,2,1,0,0,0,1,0,0,0,0,0,60,2018,3,20,0,0,0,0,1,0,0,0,75,0,1
INN00829,2,0,2,1,0,0,0,0,1,0,0,0,0,0,96,2017,7,11,0,0,0,1,0,0,0,0,94.5,0,0
INN00841,2,0,2,3,1,0,0,0,0,0,0,1,0,0,159,2018,9,30,0,0,0,0,1,0,0,0,134.46,2,1
INN00850,2,0,1,2,0,0,0,0,1,0,0,0,0,0,194,2018,8,22,0,0,0,0,1,0,0,0,102.25,1,1
INN00857,1,0,0,2,1,0,0,0,1,0,0,0,0,0,7,2017,10,28,0,0,0,0,1,0,0,0,92.4,1,0
INN00860,2,1,1,4,1,0,0,0,1,0,0,0,0,0,73,2018,10,12,0,0,0,0,1,0,0,0,135,1,1
INN00871,1,0,2,2,1,0,0,0,1,0,0,0,0,0,48,2018,5,22,0,0,0,1,0,0,0,0,81,0,0
INN00876,2,0,2,2,0,0,1,0,1,0,0,0,0,0,99,2018,5,1,0,0,0,0,1,0,0,0,89.25,0,1
INN00882,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2018,5,24,0,0,1,0,0,0,0,0,125.1,0,0
INN00894,1,0,2,4,1,0,0,0,1,0,0,0,0,0,245,2018,7,6,0,0,0,0,1,0,0,0,110,0,1
INN00895,1,0,1,0,1,0,0,0,1,0,0,0,0,0,24,2018,10,3,0,0,1,0,0,1,0,2,95,0,0
INN00933,1,0,2,2,1,0,0,0,1,0,0,0,0,0,162,2018,10,14,0,0,0,0,1,0,0,0,115,0,1
INN00954,1,0,2,1,1,0,0,0,1,0,0,0,0,0,93,2018,10,15,0,0,0,0,1,0,0,0,115,0,1
INN00957,1,0,2,3,1,0,0,0,1,0,0,0,0,0,27,2018,11,6,0,0,0,0,1,0,0,0,143.3,1,0
INN00991,2,0,0,2,0,0,1,0,1,0,0,0,0,0,22,2018,2,19,0,0,0,0,1,0,0,0,81,1,0
INN01006,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2018,1,20,0,1,0,0,0,1,0,2,0,0,0
INN01012,2,0,0,1,0,0,1,0,1,0,0,0,0,0,54,2018,3,5,0,0,0,0,1,0,0,0,69.5,1,0
INN01030,2,0,0,4,1,0,0,0,1,0,0,0,0,0,244,2018,8,2,0,0,0,0,1,0,0,0,90.95,0,1
INN01031,2,0,1,2,1,0,0,0,1,0,0,0,0,0,11,2018,10,3,0,0,0,1,0,0,0,0,85,0,0
INN01036,2,0,0,4,1,0,0,0,1,0,0,0,0,0,217,2018,5,25,0,0,0,0,1,0,0,0,90.1,2,1
INN01116,1,0,0,2,0,0,0,0,1,0,0,0,0,0,256,2018,6,15,0,0,0,1,0,0,0,0,90,0,0
INN01121,2,0,2,3,1,0,0,0,1,0,0,0,0,0,17,2017,8,27,0,0,0,0,1,0,0,0,90,1,0
INN01132,2,0,2,3,1,0,0,0,1,0,0,0,0,0,49,2018,1,24,0,0,0,0,1,0,0,0,75.95,1,0
INN01138,2,0,0,5,1,0,0,0,1,0,0,0,0,0,10,2017,8,18,0,0,0,0,1,0,0,0,90,1,0
INN01150,2,2,1,2,1,0,0,0,0,0,0,0,0,1,9,2017,8,21,0,0,0,0,1,0,0,0,115.67,3,0
INN01156,1,0,1,4,1,0,0,0,1,0,0,0,0,0,89,2017,7,6,0,0,0,0,1,0,0,0,68,1,1
INN01160,2,0,1,1,1,0,0,1,1,0,0,0,0,0,83,2018,3,19,0,0,0,0,1,0,0,0,105.3,1,0
INN01172,2,0,0,4,1,0,0,0,1,0,0,0,0,0,89,2017,8,11,0,0,0,0,1,0,0,0,76.5,0,1
INN01179,2,0,0,2,1,0,0,0,1,0,0,0,0,0,36,2018,8,10,0,0,0,0,1,0,0,0,135.9,1,1
INN01185,2,0,1,2,0,0,1,0,1,0,0,0,0,0,66,2018,9,2,0,0,0,0,1,0,0,0,87.3,1,0
INN01196,2,0,2,1,1,0,0,0,1,0,0,0,0,0,88,2018,12,18,0,0,0,1,0,0,0,0,75,0,0
INN01216,1,0,2,1,1,0,0,0,1,0,0,0,0,0,110,2018,10,9,0,0,0,0,1,0,0,0,80,0,1
INN01220,2,0,2,1,1,0,0,0,1,0,0,0,0,0,41,2018,3,13,0,0,1,0,0,0,0,0,85.67,0,0
INN01243,1,0,1,3,1,0,0,0,1,0,0,0,0,0,11,2017,10,19,0,0,0,0,1,0,0,0,92.4,0,0
INN01254,2,0,0,3,0,0,1,0,1,0,0,0,0,0,54,2018,11,16,0,0,0,0,1,0,0,0,57.93,1,0
INN01278,2,0,2,1,0,0,1,0,1,0,0,0,0,0,12,2018,9,18,0,0,0,0,1,0,0,0,142.33,1,0
INN01286,1,0,1,4,1,0,0,0,1,0,0,0,0,0,190,2018,6,22,0,0,0,1,0,0,0,0,95,0,0
INN01295,2,0,2,2,0,0,0,0,1,0,0,0,0,0,37,2018,6,26,0,0,0,0,1,0,0,0,143.1,2,0
INN01314,2,0,0,2,1,0,0,0,1,0,0,0,0,0,317,2018,9,15,0,0,0,0,1,0,0,0,120,0,1
INN01317,1,0,0,2,1,0,0,0,1,0,0,0,0,0,64,2018,5,17,0,0,1,0,0,0,0,0,130,0,0
INN01318,2,0,1,3,1,0,0,0,1,0,0,0,0,0,21,2018,8,29,0,0,0,0,1,0,0,0,124.25,3,0
INN01322,2,0,1,3,1,0,0,0,1,0,0,0,0,0,13,2017,9,3,0,0,0,1,0,0,0,0,84,1,0
INN01346,1,0,0,2,1,0,0,0,1,0,0,0,0,0,14,2018,7,21,0,0,1,0,0,0,0,0,105,0,1
INN01348,2,0,0,3,1,0,0,0,0,0,0,1,0,0,130,2018,9,29,0,0,0,0,1,0,0,0,139.5,2,1
INN01350,2,0,1,1,0,0,1,0,1,0,0,0,0,0,75,2018,11,12,0,0,0,0,1,0,0,0,79.2,1,0
INN01372,2,0,0,4,1,0,0,0,0,0,0,1,0,0,37,2018,3,1,0,0,0,0,1,0,0,0,95.4,1,1
INN01389,2,0,1,2,1,0,0,0,1,0,0,0,0,0,18,2018,2,12,0,0,0,0,1,0,0,0,91,0,0
